axis,x,pipeline,seed,shape,n_out,depth,width,macs,macs_eff,nw,n_in,insns,jited,map_bytes,n_maps,tail,build_ms,update_ms,lat_ns,lat_p50,lat_max,mpps,sparsity_real,lookups
depth,3,hardcoded,7,65-4-4-4-7,7,3,4,320,96,339,65,1071,5229,2516,5,1,258.3171349999702,20.816,85,88,90,11.764705882352942,0.0,
depth,3,template,7,65-4-4-4-7,7,3,4,320,96,339,65,16667,75345,141744,10,1,4246.729465000044,10.632271000076798,374,385,406,2.6737967914438503,0.0,
depth,3,modular,7,65-4-4-4-7,7,3,4,320,96,339,65,12374,57496,150836,13,4,3154.8671719999675,68.6260449999736,582,608,652,1.7182130584192439,0.0,
depth,4,p1_static,42,65-4-4-4-4-7,7,4,4,336,112,359,65,719,3153,2516,5,1,195.3072809999412,16.88,96,96,97,10.416666666666666,0.0,
depth,4,hardcoded,42,65-4-4-4-4-7,7,4,4,336,112,359,65,1119,5430,2516,5,1,234.73346800005856,16.962,80,99,100,12.5,0.0,
depth,4,template,42,65-4-4-4-4-7,7,4,4,336,112,359,65,16689,75351,141744,10,1,4533.486175999997,11.155253999959314,366,429,442,2.73224043715847,0.0,
depth,4,modular,42,65-4-4-4-4-7,7,4,4,336,112,359,65,12374,57496,150836,13,5,3685.627670000031,11.79567200006204,708,733,756,1.4124293785310735,0.0,
depth,4,p1_static,1,65-4-4-4-4-7,7,4,4,336,112,359,65,688,3024,2516,5,1,240.0431330001993,16.562,81,83,89,12.345679012345679,0.0,
depth,4,hardcoded,1,65-4-4-4-4-7,7,4,4,336,112,359,65,1147,5567,2516,5,1,248.9798270000847,23.983,90,101,105,11.11111111111111,0.0,
depth,4,template,1,65-4-4-4-4-7,7,4,4,336,112,359,65,16689,75351,141744,10,1,4258.0842580000535,12.967720999995436,337,344,411,2.9673590504451037,0.0,
depth,4,modular,1,65-4-4-4-4-7,7,4,4,336,112,359,65,12374,57496,150836,13,5,2856.5782199998466,8.575183000175457,581,603,708,1.721170395869191,0.0,
depth,4,p1_static,2,65-4-4-4-4-7,7,4,4,336,112,359,65,745,3252,2516,5,1,153.36433099992064,14.259,72,73,75,13.88888888888889,0.0,
depth,4,hardcoded,2,65-4-4-4-4-7,7,4,4,336,112,359,65,1142,5486,2516,5,1,201.56638500020563,16.334,79,80,87,12.658227848101266,0.0,
depth,4,template,2,65-4-4-4-4-7,7,4,4,336,112,359,65,16689,75351,141744,10,1,2948.5360109999874,22.386146999906487,338,351,387,2.9585798816568047,0.0,
depth,4,modular,2,65-4-4-4-4-7,7,4,4,336,112,359,65,12374,57496,150836,13,5,2052.4564849999933,7.99387500001103,593,625,651,1.6863406408094435,0.0,
depth,4,p1_static,3,65-4-4-4-4-7,7,4,4,336,112,359,65,761,3317,2516,5,1,205.5978400001095,39.409,72,76,89,13.88888888888889,0.0,
depth,4,hardcoded,3,65-4-4-4-4-7,7,4,4,336,112,359,65,1182,5640,2516,5,1,189.1205169999921,14.749,80,81,93,12.5,0.0,
depth,4,template,3,65-4-4-4-4-7,7,4,4,336,112,359,65,16689,75351,141744,10,1,3129.756033000149,8.025230999919586,350,402,425,2.857142857142857,0.0,
depth,4,modular,3,65-4-4-4-4-7,7,4,4,336,112,359,65,12374,57496,150836,13,5,2507.1731709999767,12.41594999987683,561,582,658,1.7825311942959001,0.0,
depth,4,p1_static,7,65-4-4-4-4-7,7,4,4,336,112,359,65,740,3243,2516,5,1,162.8412989998651,11.541,70,72,74,14.285714285714286,0.0,
depth,4,hardcoded,7,65-4-4-4-4-7,7,4,4,336,112,359,65,1141,5519,2516,5,1,182.91829800000414,12.228,80,82,99,12.5,0.0,
depth,4,template,7,65-4-4-4-4-7,7,4,4,336,112,359,65,16689,75351,141744,10,1,2961.850613000024,16.07445700005883,334,340,403,2.9940119760479043,0.0,
depth,4,modular,7,65-4-4-4-4-7,7,4,4,336,112,359,65,12374,57496,150836,13,5,2547.9843670000264,7.023075999995854,584,592,643,1.7123287671232876,0.0,
depth,5,p1_static,42,65-4-4-4-4-4-7,7,5,4,352,128,379,65,784,3421,2516,5,1,166.7565039999772,10.737,78,80,96,12.820512820512821,0.0,
depth,5,hardcoded,42,65-4-4-4-4-4-7,7,5,4,352,128,379,65,1192,5724,2516,5,1,173.26911800000744,12.583,84,89,98,11.904761904761905,0.0,
depth,5,template,42,65-4-4-4-4-4-7,7,5,4,352,128,379,65,17643,79269,141744,10,1,3513.075491999871,8.015569000008327,390,420,482,2.5641025641025643,0.0,
depth,5,modular,42,65-4-4-4-4-4-7,7,5,4,352,128,379,65,12374,57496,150836,13,6,2449.119170000131,11.203108000017892,645,649,813,1.550387596899225,0.0,
depth,5,p1_static,1,65-4-4-4-4-4-7,7,5,4,352,128,379,65,762,3318,2516,5,1,200.0683730000219,10.171,70,72,84,14.285714285714286,0.0,
depth,5,hardcoded,1,65-4-4-4-4-4-7,7,5,4,352,128,379,65,1376,6524,2516,5,1,214.5130420001351,27.49,87,88,104,11.494252873563218,0.0,
depth,5,template,1,65-4-4-4-4-4-7,7,5,4,352,128,379,65,17643,79269,141744,10,1,3585.857777000001,8.667217000038363,382,396,529,2.6178010471204187,0.0,
depth,5,modular,1,65-4-4-4-4-4-7,7,5,4,352,128,379,65,12374,57496,150836,13,6,2523.894842000118,12.595516000146745,627,648,734,1.594896331738437,0.0,
